All joint Positions
BaseSpine,Head,LeftElbow,LeftFoot,LeftHand,LeftHip,LeftKnee,LeftShoulder,LeftWrist,MidSpine,Neck,RightElbow,RightFoot,RightHand,RightHip,RightKnee,RightShoulder,RightWrist,ShoulderSpine,
(280.16 707.98 1450.04),(130.39 487.03 1447.08),(-130.24 594.87 1449.88),(-333.98 232.23 1379.56),(-322.87 -67.51 1165.97),(388.62 594.59 1450.13),(568.69 218.13 1383.31),(539.9 -4.3 1143.14),(133.9 138.27 1470.41),(142.56 -162.02 1452.01),(-38.59 -202.02 1443.71),(-46.21 -747.32 1282.55),(0 0 0),(324.81 -206.18 1452.33),(399.1 -762.86 1307.65),(0 0 0),(-324.72 -17.55 1201.57),(544.72 32.77 1183.17),(129.14 610.86 1438.81),
(280.16 707.98 1450.04),(130.39 487.03 1447.08),(-130.24 594.87 1449.88),(-333.98 232.23 1379.56),(-322.87 -67.51 1165.97),(388.62 594.59 1450.13),(568.69 218.13 1383.31),(539.9 -4.3 1143.14),(133.9 138.27 1470.41),(142.56 -162.02 1452.01),(-38.59 -202.02 1443.71),(-46.21 -747.32 1282.55),(0 0 0),(324.81 -206.18 1452.33),(399.1 -762.86 1307.65),(0 0 0),(-324.72 -17.55 1201.57),(544.72 32.77 1183.17),(129.14 610.86 1438.81),
(294.49 714.47 1461.84),(137 519.82 1460.42),(-122.85 611.9 1461.71),(-313.72 244.22 1393.28),(-296.14 -50.89 1180.47),(389.81 611.19 1462.65),(570.85 232.07 1408.35),(570.05 -14.87 1180.57),(146.64 171.17 1493.93),(150.02 -129.79 1477.18),(-22.21 -184.07 1460.62),(-45.77 -705.43 1280.57),(0 0 0),(325.32 -183.81 1467.71),(398.82 -738.36 1320.19),(0 0 0),(-299.05 -1.68 1215.94),(570.25 26.22 1218.53),(133.6 642.53 1448.69),
(294.49 714.47 1461.84),(137 519.82 1460.42),(-122.85 611.9 1461.71),(-313.72 244.22 1393.28),(-296.14 -50.89 1180.47),(389.81 611.19 1462.65),(570.85 232.07 1408.35),(570.05 -14.87 1180.57),(146.64 171.17 1493.93),(150.02 -129.79 1477.18),(-22.21 -184.07 1460.62),(-45.77 -705.43 1280.57),(0 0 0),(325.32 -183.81 1467.71),(398.82 -738.36 1320.19),(0 0 0),(-299.05 -1.68 1215.94),(570.25 26.22 1218.53),(133.6 642.53 1448.69),
(314.29 727.91 1483.66),(149.09 569.64 1482.96),(-107.87 638.13 1483.2),(-275.47 258.48 1420.28),(-245.78 -28.39 1206.98),(394.58 638.57 1484.44),(574.72 255.03 1443.26),(607.72 -41.99 1241.84),(165.54 220.05 1528.81),(161.87 -81.34 1513.88),(-1.73 -156.96 1488.35),(-42.68 -654.9 1291.64),(0 0 0),(327.28 -156.4 1492.77),(398.03 -706.49 1343.17),(0 0 0),(-250.69 19.46 1242.53),(602.23 7.34 1275.41),(143.4 690.82 1467.16),
(314.29 727.91 1483.66),(149.09 569.64 1482.96),(-107.87 638.13 1483.2),(-275.47 258.48 1420.28),(-245.78 -28.39 1206.98),(394.58 638.57 1484.44),(574.72 255.03 1443.26),(607.72 -41.99 1241.84),(165.54 220.05 1528.81),(161.87 -81.34 1513.88),(-1.73 -156.96 1488.35),(-42.68 -654.9 1291.64),(0 0 0),(327.28 -156.4 1492.77),(398.03 -706.49 1343.17),(0 0 0),(-250.69 19.46 1242.53),(602.23 7.34 1275.41),(143.4 690.82 1467.16),
(314.29 727.91 1483.66),(163.72 614.75 1507.05),(-88.4 663.08 1511.36),(-232.82 277.01 1447.35),(-189.61 -16.85 1238.13),(403.83 667.41 1510.87),(582.03 281.84 1480.49),(636.46 -70.72 1309.73),(183.76 261.44 1559.1),(174.66 -39.84 1545.31),(15.14 -139.12 1514.85),(-38.48 -622.79 1310.71),(0 0 0),(333.58 -140.24 1518.17),(395.76 -687.17 1370.16),(0 0 0),(-196.76 32.15 1273),(627.3 -12.1 1338.19),(156.9 735.17 1489.35),
(314.29 727.91 1483.66),(163.72 614.75 1507.05),(-88.4 663.08 1511.36),(-232.82 277.01 1447.35),(-189.61 -16.85 1238.13),(403.83 667.41 1510.87),(582.03 281.84 1480.49),(636.46 -70.72 1309.73),(183.76 261.44 1559.1),(174.66 -39.84 1545.31),(15.14 -139.12 1514.85),(-38.48 -622.79 1310.71),(0 0 0),(333.58 -140.24 1518.17),(395.76 -687.17 1370.16),(0 0 0),(-196.76 32.15 1273),(627.3 -12.1 1338.19),(156.9 735.17 1489.35),
(314.29 727.91 1483.66),(179.07 647.28 1529.36),(-70.05 685.83 1538.45),(-192.72 293.27 1477.5),(-134.65 -10.96 1274.52),(416.97 689.7 1534.99),(591.81 303.14 1514.35),(657.68 -95.51 1375.79),(199.41 287.85 1580.33),(187.27 -13.24 1567.28),(27.54 -129.83 1536.32),(-33.19 -606.63 1331.82),(0 0 0),(343.61 -133.86 1539.8),(391.33 -680.97 1398.18),(0 0 0),(-144.29 39.75 1308.35),(646.58 -29.11 1398.89),(172.23 768 1512.24),
(314.29 727.91 1483.66),(179.07 647.28 1529.36),(-70.05 685.83 1538.45),(-192.72 293.27 1477.5),(-134.65 -10.96 1274.52),(416.97 689.7 1534.99),(591.81 303.14 1514.35),(657.68 -95.51 1375.79),(199.41 287.85 1580.33),(187.27 -13.24 1567.28),(27.54 -129.83 1536.32),(-33.19 -606.63 1331.82),(0 0 0),(343.61 -133.86 1539.8),(391.33 -680.97 1398.18),(0 0 0),(-144.29 39.75 1308.35),(646.58 -29.11 1398.89),(172.23 768 1512.24),
